,zone_id,road_weight_sum,road_weight_avg,road_count,population,commercial_score,accessibility_score,dump_risk_score,waste_generated
52,52,59.0,1.9666666666666666,30.0,4500,23.6,3.93,4.45,3302.22
53,53,65.5,1.9848484848484849,33.0,4950,26.2,3.97,4.57,3633.14
54,54,18.5,1.6818181818181819,11.0,1650,7.4,3.36,3.84,1207.21
55,55,13.0,1.8571428571428572,7.0,1050,5.2,3.71,3.48,769.64
56,56,74.0,2.0,37.0,5550,29.6,4.0,4.75,4074.16
57,57,32.5,1.625,20.0,3000,13.0,3.25,4.32,2193.62
58,58,19.0,1.9,10.0,1500,7.6,3.8,3.57,1099.97
59,59,7.0,1.75,4.0,600,2.8,3.5,3.44,439.3
60,60,0.0,0.0,0.0,0,0.0,0.0,5.0,0.0
61,61,79.5,1.9390243902439024,41.0,6150,31.8,3.88,4.99,4511.74
62,62,1.0,1.0,1.0,150,0.4,2.0,4.05,108.96
63,63,90.0,2.0454545454545454,44.0,6600,36.0,4.09,5.03,4847.25
64,64,106.0,2.0,53.0,7950,42.4,4.0,5.5,5835.96
65,65,67.5,1.4361702127659575,47.0,7050,27.0,2.87,5.78,5144.81
66,66,33.0,1.8333333333333333,18.0,2700,13.2,3.67,4.01,1978.57
67,67,110.0,1.4473684210526316,76.0,11400,44.0,2.89,7.14,8320.25
68,68,77.5,1.3135593220338984,59.0,8850,31.0,2.63,6.47,6450.06
69,69,91.0,1.5423728813559323,59.0,8850,36.4,3.08,6.24,6465.59
70,70,19.0,1.4615384615384615,13.0,1950,7.6,2.92,4.15,1423.41
71,71,2.0,1.0,2.0,300,0.8,2.0,4.09,217.92
72,72,1.0,1.0,1.0,150,0.4,2.0,4.05,108.96
73,73,2.0,1.0,2.0,300,0.8,2.0,4.09,217.92
74,74,30.0,1.6666666666666667,18.0,2700,12.0,3.33,4.18,1975.12
75,75,1.0,1.0,1.0,150,0.4,2.0,4.05,108.96
76,76,2.0,1.0,2.0,300,0.8,2.0,4.09,217.92
77,77,27.0,1.6875,16.0,2400,10.8,3.38,4.06,1756.05
78,78,5.0,1.0,5.0,750,2.0,2.0,4.24,544.81
79,79,1.0,1.0,1.0,150,0.4,2.0,4.05,108.96
80,80,2.0,1.0,2.0,300,0.8,2.0,4.09,217.92
81,81,29.0,1.9333333333333333,15.0,2250,11.6,3.87,3.77,1650.54
82,82,12.5,2.5,5.0,750,5.0,5.0,2.74,553.44
83,83,0.0,0.0,0.0,0,0.0,0.0,5.0,0.0
84,84,60.5,2.240740740740741,27.0,4050,24.2,4.48,4.03,2980.51
85,85,5.0,1.6666666666666667,3.0,450,2.0,3.33,3.48,329.19
86,86,31.5,2.25,14.0,2100,12.6,4.5,3.41,1545.6
87,87,5.0,0.8333333333333334,6.0,900,2.0,1.67,4.45,652.62
88,88,45.5,0.7583333333333333,60.0,9000,18.2,1.52,7.07,6521.07
89,89,33.0,1.1,30.0,4500,13.2,2.2,5.32,3272.32
90,90,53.5,1.1382978723404256,47.0,7050,21.4,2.28,6.08,5128.71
91,91,70.0,1.627906976744186,43.0,6450,28.0,3.26,5.4,4716.44
92,92,19.0,1.4615384615384615,13.0,1950,7.6,2.92,4.15,1423.41
93,93,4.0,1.0,4.0,600,1.6,2.0,4.19,435.85
94,94,18.0,1.5,12.0,1800,7.2,3.0,4.07,1314.45
95,95,25.0,1.0,25.0,3750,10.0,2.0,5.18,2724.06
96,96,1.0,1.0,1.0,150,0.4,2.0,4.05,108.96
97,97,2.0,1.0,2.0,300,0.8,2.0,4.09,217.92
