cell_id,centroid_lon,centroid_lat,area_ha,road_count,road_density,accessibility_score,has_major_road,has_trunk,commercial_score,zone_type,population,traffic_score,dump_risk_score,waste_base_kg,buildings_est
G041,77.65563534439549,12.900229134560238,7.141,24,3.36,2.0,0,0,2.54,mixed,269,0.67,7.25,139.5,96
G042,77.65499918148966,12.903991409295081,1.919,0,0.0,0.0,0,0,0.0,residential,105,0.0,10.0,52.5,25
G043,77.65541459757875,12.908235945507462,6.226,2,0.32,2.0,0,0,1.33,residential,353,0.06,8.5,179.1,84
G044,77.6564924871087,12.912223488249035,15.726,3,0.19,2.0,0,0,1.28,residential,890,0.04,8.5,447.8,212
G045,77.65672328584238,12.915939268628241,19.216,7,0.36,2.0,0,0,1.35,residential,1088,0.07,8.5,546.6,259
G046,77.65598806608452,12.918848699185427,6.201,3,0.48,2.0,0,0,1.39,residential,349,0.1,8.5,177.1,83
G047,77.65964562251438,12.912805589530088,5.33,1,0.19,2.0,0,0,1.28,residential,298,0.04,8.5,151.7,71
G048,77.6602823089449,12.915859236320738,11.59,3,0.26,2.0,0,0,1.3,residential,655,0.05,8.5,330.2,156
G049,77.6622729983129,12.920185518217624,1.737,8,4.61,2.0,0,0,3.04,mixed,64,0.92,4.75,38.3,23
G050,77.66226433879281,12.9233692475699,3.555,14,3.94,2.0,0,0,2.78,mixed,132,0.79,7.25,71.4,47
G051,77.66268436533669,12.926037132743401,0.021,1,10.0,2.0,0,0,5.2,commercial,2,2.0,7.25,11.2,1
G052,77.66381487226816,12.920545119992417,7.934,33,4.16,2.0,0,0,2.86,mixed,300,0.83,7.25,155.5,107
G053,77.66470570224216,12.923960490896652,19.028,87,4.57,2.0,0,0,3.03,mixed,717,0.91,7.25,364.5,256
G054,77.66517091609354,12.927412403312312,12.096,40,3.31,2.0,0,0,2.52,mixed,456,0.66,7.25,233.2,163
G055,77.66633976428852,12.93036597977685,0.864,4,4.63,2.0,0,0,3.05,mixed,31,0.93,7.25,21.5,11
G056,77.66746047454173,12.924699172686218,4.923,32,6.5,2.0,0,0,3.8,mixed,185,1.3,7.25,100.0,66
G057,77.66797842035406,12.927996424761425,12.009,47,3.91,2.0,0,0,2.77,mixed,454,0.78,7.25,232.3,162
G058,77.6679893944108,12.930486306295155,3.333,10,3.0,2.0,0,0,2.4,residential,185,0.6,7.25,97.2,44
