cell_id,geometry,centroid_lon,centroid_lat,area_ha,road_count,road_density,accessibility_score,has_major_road,has_trunk,commercial_score,zone_type,population,traffic_score,dump_risk_score,waste_base_kg,buildings_est,waste_baseline_kg,waste_heavy_rain_kg,waste_festival_ganesh_kg,waste_worst_case_kg
G010,"POLYGON Z ((77.63872500000002 12.905940999999999 0, 77.63872500000002 12.905831553956826 0, 77.638665 12.905854 0, 77.63844671621622 12.905940999999999 0, 77.63872500000002 12.905940999999999 0))",77.6386320305391,12.905904216096083,0.018,1,10.0,2.0,0,0,5.2,commercial,2,2.0,4.75,11.2,1,11.3,13.0,14.5,17.5
G011,"POLYGON Z ((77.63472500000002 12.909940999999998 0, 77.63872500000002 12.909940999999998 0, 77.63872500000002 12.905940999999999 0, 77.63844671621622 12.905940999999999 0, 77.638108 12.906076 0, 77.63761 12.906269 0, 77.636981 12.906549 0, 77.636424 12.906743 0, 77.635795 12.907066 0, 77.635238 12.90727 0, 77.635116 12.907314 0, 77.63472500000002 12.907209033557052 0, 77.63472500000002 12.909940999999998 0))",77.63688363463805,12.908258998211483,15.872,78,4.91,2.0,0,0,3.17,mixed,599,0.98,7.25,305.9,214,275.9,317.3,353.1,428.3
G012,"POLYGON Z ((77.63472500000002 12.909940999999998 0, 77.63472500000002 12.913940999999998 0, 77.63872500000002 12.913940999999998 0, 77.63872500000002 12.909940999999998 0, 77.63472500000002 12.909940999999998 0))",77.63672500000003,12.911940999999997,19.233,111,5.77,2.0,0,0,3.51,mixed,725,1.15,7.25,369.6,259,333.3,383.3,426.6,517.4
G013,"POLYGON Z ((77.63872500000002 12.917940999999997 0, 77.63872500000002 12.913940999999998 0, 77.63472500000002 12.913940999999998 0, 77.63472500000002 12.916303361064891 0, 77.634804 12.916296 0, 77.635993 12.916184 0, 77.636757 12.916095 0, 77.637472 12.915988 0, 77.637996 12.915946 0, 77.638125 12.915945 0, 77.638202 12.915944 0, 77.638214 12.916458 0, 77.638286 12.917707 0, 77.63829444029851 12.917940999999997 0, 77.63872500000002 12.917940999999997 0))",77.63684309877445,12.91521131149527,11.521,109,9.46,2.0,0,0,4.98,mixed,434,1.89,7.25,227.0,155,205.3,236.0,262.7,318.7
G014,"POLYGON Z ((77.63872500000002 12.917940999999997 0, 77.63829444029851 12.917940999999997 0, 77.638344 12.919315 0, 77.638401 12.919996 0, 77.638468 12.920341 0, 77.638658 12.920977 0, 77.63869 12.921099 0, 77.63872500000002 12.921203517241452 0, 77.63872500000002 12.917940999999997 0))",77.63854681486052,12.919235369191126,1.213,6,4.95,2.0,0,0,3.18,mixed,45,0.99,7.25,28.8,16,26.6,30.6,34.1,41.3
G015,"POLYGON Z ((77.63872500000002 12.905940999999999 0, 77.64272500000003 12.905940999999999 0, 77.64272500000003 12.905130069518709 0, 77.642408 12.905225 0, 77.641968 12.905316 0, 77.64163 12.905377 0, 77.641131 12.905425 0, 77.640632 12.905503 0, 77.640279 12.905578 0, 77.639619 12.905672 0, 77.639119 12.905705 0, 77.638943 12.90575 0, 77.63872500000002 12.905831553956826 0, 77.63872500000002 12.905940999999999 0))",77.64118317618919,12.905681432139225,2.154,10,4.64,2.0,0,0,3.06,mixed,81,0.93,7.25,46.7,29,42.6,49.0,54.5,66.1
G016,"POLYGON Z ((77.63872500000002 12.905940999999999 0, 77.63872500000002 12.909940999999998 0, 77.64272500000003 12.909940999999998 0, 77.64272500000003 12.905940999999999 0, 77.63872500000002 12.905940999999999 0))",77.64072500000003,12.907940999999997,19.233,59,3.07,2.0,0,0,2.43,residential,1088,0.61,7.25,548.8,259,494.5,568.6,632.9,767.6
G017,"POLYGON Z ((77.63872500000002 12.909940999999998 0, 77.63872500000002 12.913940999999998 0, 77.64272500000003 12.913940999999998 0, 77.64272500000003 12.909940999999998 0, 77.63872500000002 12.909940999999998 0))",77.64072500000003,12.911940999999997,19.233,105,5.46,2.0,0,0,3.38,mixed,725,1.09,7.25,369.4,259,333.0,383.0,426.3,517.0
G018,"POLYGON Z ((77.63872500000002 12.913940999999998 0, 77.63872500000002 12.917940999999997 0, 77.64272500000003 12.917940999999997 0, 77.64272500000003 12.913940999999998 0, 77.63872500000002 12.913940999999998 0))",77.64072500000003,12.915940999999998,19.233,93,4.84,2.0,0,0,3.13,mixed,725,0.97,7.25,368.9,259,332.5,382.4,425.6,516.2
G019,"POLYGON Z ((77.64272500000003 12.921940999999997 0, 77.64272500000003 12.917940999999997 0, 77.63872500000002 12.917940999999997 0, 77.63872500000002 12.921203517241452 0, 77.638835 12.921532 0, 77.63904523364485 12.921940999999997 0, 77.64272500000003 12.921940999999997 0))",77.64073766014535,12.919929192397168,19.105,27,1.41,2.0,0,0,1.77,residential,1079,0.28,8.5,543.2,257,489.1,562.5,626.0,759.3
G020,"POLYGON Z ((77.64272500000003 12.921940999999997 0, 77.63904523364485 12.921940999999997 0, 77.639055 12.92196 0, 77.639398 12.922616 0, 77.639782 12.923459 0, 77.639974 12.923835 0, 77.640458 12.92367 0, 77.640887 12.923504 0, 77.641109 12.923419 0, 77.641204 12.923392 0, 77.641278 12.923386 0, 77.641347 12.92338 0, 77.641437 12.923389 0, 77.641544 12.923414 0, 77.642129 12.923586 0, 77.64272500000003 12.923735000000006 0, 77.64272500000003 12.921940999999997 0))",77.64106738034772,12.922731543230837,6.439,11,1.71,2.0,0,0,1.88,residential,361,0.34,8.5,184.4,86,166.2,191.1,212.7,258.0
G021,"POLYGON Z ((77.64272500000003 12.905940999999999 0, 77.64672500000003 12.905940999999999 0, 77.64672500000003 12.904236863414628 0, 77.646691 12.904243 0, 77.646347 12.904284 0, 77.646121 12.90434 0, 77.645815 12.904415 0, 77.645313 12.904532 0, 77.644785 12.904653 0, 77.644257 12.904773 0, 77.643787 12.904865 0, 77.643156 12.905001 0, 77.64272500000003 12.905130069518709 0, 77.64272500000003 12.905940999999999 0))",77.64495800444261,12.905275012128673,6.154,30,4.87,2.0,0,0,3.15,mixed,232,0.97,7.25,122.5,83,110.7,127.3,141.7,171.9
G022,"POLYGON Z ((77.64272500000003 12.905940999999999 0, 77.64272500000003 12.909940999999998 0, 77.64672500000003 12.909940999999998 0, 77.64672500000003 12.905940999999999 0, 77.64272500000003 12.905940999999999 0))",77.64472500000004,12.907940999999997,19.233,69,3.59,2.0,0,0,2.63,mixed,725,0.72,7.25,367.9,259,331.5,381.2,424.3,514.7
G023,"POLYGON Z ((77.64272500000003 12.909940999999998 0, 77.64272500000003 12.913940999999998 0, 77.64672500000003 12.913940999999998 0, 77.64672500000003 12.909940999999998 0, 77.64272500000003 12.909940999999998 0))",77.64472500000004,12.911940999999997,19.233,98,5.1,2.0,0,0,3.24,mixed,725,1.02,7.25,369.1,259,332.7,382.6,425.9,516.6
G024,"POLYGON Z ((77.64272500000003 12.913940999999998 0, 77.64272500000003 12.917940999999997 0, 77.64672500000003 12.917940999999997 0, 77.64672500000003 12.913940999999998 0, 77.64272500000003 12.913940999999998 0))",77.64472500000004,12.915940999999998,19.233,60,3.12,2.0,0,0,2.45,residential,1088,0.62,7.25,548.8,259,494.5,568.7,633.0,767.7
G025,"POLYGON Z ((77.64272500000003 12.917940999999997 0, 77.64272500000003 12.921940999999997 0, 77.64672500000003 12.921940999999997 0, 77.64672500000003 12.917940999999997 0, 77.64272500000003 12.917940999999997 0))",77.64472500000004,12.919940999999996,19.233,75,3.9,2.0,0,0,2.76,mixed,725,0.78,7.25,368.1,259,331.8,381.5,424.7,515.1
G026,"POLYGON Z ((77.64672500000003 12.921940999999997 0, 77.64272500000003 12.921940999999997 0, 77.64272500000003 12.923735000000006 0, 77.642869 12.923771 0, 77.644046 12.924097 0, 77.644749 12.92433 0, 77.644919 12.924385 0, 77.645073 12.92443 0, 77.645212 12.924455 0, 77.645429 12.924474 0, 77.645658 12.924476 0, 77.645865 12.924474 0, 77.646311 12.92448 0, 77.64672500000003 12.924501571142285 0, 77.64672500000003 12.921940999999997 0))",77.64484703403015,12.923102707741506,11.037,42,3.81,2.0,0,0,2.72,mixed,414,0.76,7.25,212.6,148,191.7,220.5,245.4,297.7
G027,"POLYGON Z ((77.65072500000004 12.901940999999999 0, 77.65072500000004 12.899091961783427 0, 77.649975 12.899434 0, 77.649212 12.899741 0, 77.649138 12.899742 0, 77.648853 12.899504 0, 77.648694 12.900002 0, 77.648584 12.900842 0, 77.648576 12.901528 0, 77.64853917979198 12.901940999999999 0, 77.65072500000004 12.901940999999999 0))",77.64971544222637,12.9007249263948,6.199,26,4.19,2.0,0,0,2.88,mixed,232,0.84,7.25,122.0,83,110.2,126.7,141.0,171.0
G028,"POLYGON Z ((77.64672500000003 12.905940999999999 0, 77.65072500000004 12.905940999999999 0, 77.65072500000004 12.901940999999999 0, 77.64853917979198 12.901940999999999 0, 77.648516 12.902201 0, 77.648559 12.902755 0, 77.648733 12.90353 0, 77.648794 12.903822 0, 77.648403 12.90383 0, 77.647996 12.903838 0, 77.64797 12.903907 0, 77.647598 12.903929 0, 77.647509 12.903915 0, 77.64751 12.904021 0, 77.647251 12.9041 0, 77.646896 12.904206 0, 77.64672500000003 12.904236863414628 0, 77.64672500000003 12.905940999999999 0))",77.6490709539425,12.904243602887544,14.598,52,3.56,2.0,0,0,2.62,mixed,552,0.71,7.25,281.0,197,253.6,291.7,324.7,393.8
G029,"POLYGON Z ((77.64672500000003 12.905940999999999 0, 77.64672500000003 12.909940999999998 0, 77.65072500000004 12.909940999999998 0, 77.65072500000004 12.905940999999999 0, 77.64672500000003 12.905940999999999 0))",77.64872500000004,12.907940999999997,19.234,74,3.85,2.0,0,0,2.74,mixed,725,0.77,7.25,368.1,259,331.7,381.5,424.6,515.0
G030,"POLYGON Z ((77.64672500000003 12.909940999999998 0, 77.64672500000003 12.913940999999998 0, 77.65072500000004 12.913940999999998 0, 77.65072500000004 12.909940999999998 0, 77.64672500000003 12.909940999999998 0))",77.64872500000004,12.911940999999997,19.233,75,3.9,2.0,0,0,2.76,mixed,725,0.78,7.25,368.1,259,331.8,381.5,424.7,515.1
G031,"POLYGON Z ((77.64672500000003 12.913940999999998 0, 77.64672500000003 12.917940999999997 0, 77.65072500000004 12.917940999999997 0, 77.65072500000004 12.913940999999998 0, 77.64672500000003 12.913940999999998 0))",77.64872500000004,12.915940999999998,19.233,40,2.08,2.0,0,0,2.03,residential,1088,0.42,7.25,548.0,259,493.7,567.7,631.9,766.4
G032,"POLYGON Z ((77.64672500000003 12.917940999999997 0, 77.64672500000003 12.921940999999997 0, 77.65072500000004 12.921940999999997 0, 77.65072500000004 12.917940999999997 0, 77.64672500000003 12.917940999999997 0))",77.64872500000004,12.919940999999996,19.233,59,3.07,2.0,0,0,2.43,residential,1088,0.61,4.75,548.8,259,494.5,568.6,632.9,767.6
G033,"POLYGON Z ((77.65072500000004 12.921940999999997 0, 77.64672500000003 12.921940999999997 0, 77.64672500000003 12.924501571142285 0, 77.64681 12.924506 0, 77.647516 12.924583 0, 77.648058 12.924619 0, 77.648558 12.924661 0, 77.649067 12.924692 0, 77.649322 12.924689 0, 77.649688 12.924644 0, 77.650048 12.924557 0, 77.65018 12.924509 0, 77.650286 12.924471 0, 77.650561 12.924411 0, 77.65072500000004 12.924384289902273 0, 77.65072500000004 12.921940999999997 0))",77.64871911564994,12.923267041384749,12.739,72,5.65,2.0,0,0,3.46,mixed,479,1.13,4.75,246.3,171,222.5,255.8,284.8,345.4
G034,"POLYGON Z ((77.65072500000004 12.901940999999999 0, 77.65472500000004 12.901940999999999 0, 77.65472500000004 12.898273865724388 0, 77.65465 12.898263 0, 77.654662 12.897985 0, 77.654014 12.897941 0, 77.653286 12.897992 0, 77.652773 12.898063 0, 77.652253 12.898163 0, 77.65163 12.898279 0, 77.651519 12.898404 0, 77.65116 12.898919 0, 77.65076 12.899076 0, 77.65072500000004 12.899091961783427 0, 77.65072500000004 12.901940999999999 0))",77.6528130071271,12.900066524993994,17.877,62,3.47,2.0,0,0,2.59,mixed,675,0.69,7.25,342.6,241,308.9,355.3,395.4,479.6
G035,"POLYGON Z ((77.65072500000004 12.901940999999999 0, 77.65072500000004 12.905940999999999 0, 77.65472500000004 12.905940999999999 0, 77.65472500000004 12.901940999999999 0, 77.65072500000004 12.901940999999999 0))",77.65272500000005,12.903940999999998,19.234,5,0.26,2.0,0,0,1.3,residential,1088,0.05,8.5,546.5,259,492.2,566.0,630.0,764.1
G036,"POLYGON Z ((77.65072500000004 12.905940999999999 0, 77.65072500000004 12.909940999999998 0, 77.65472500000004 12.909940999999998 0, 77.65472500000004 12.905940999999999 0, 77.65072500000004 12.905940999999999 0))",77.65272500000005,12.907940999999997,19.234,50,2.6,2.0,0,0,2.24,residential,1088,0.52,7.25,548.4,259,494.1,568.2,632.4,767.1
G037,"POLYGON Z ((77.65072500000004 12.909940999999998 0, 77.65072500000004 12.913940999999998 0, 77.65472500000004 12.913940999999998 0, 77.65472500000004 12.909940999999998 0, 77.65072500000004 12.909940999999998 0))",77.65272500000005,12.911940999999997,19.233,66,3.43,2.0,0,0,2.57,mixed,725,0.69,7.25,367.7,259,331.4,381.1,424.2,514.5
G038,"POLYGON Z ((77.65072500000004 12.913940999999998 0, 77.65072500000004 12.917940999999997 0, 77.65472500000004 12.917940999999997 0, 77.65472500000004 12.913940999999998 0, 77.65072500000004 12.913940999999998 0))",77.65272500000005,12.915940999999998,19.233,74,3.85,2.0,0,0,2.74,mixed,725,0.77,7.25,368.1,259,331.7,381.5,424.6,515.0
G039,"POLYGON Z ((77.65472500000004 12.917940999999997 0, 77.65072500000004 12.917940999999997 0, 77.65072500000004 12.921940999999997 0, 77.65153812 12.921940999999997 0, 77.651544 12.92178 0, 77.651557 12.921323 0, 77.651562 12.921241 0, 77.651565 12.921203 0, 77.651582 12.92118 0, 77.651615 12.921159 0, 77.651663 12.921152 0, 77.651934 12.921126 0, 77.652697 12.921022 0, 77.652972 12.920996 0, 77.653121 12.920997 0, 77.653261 12.920999 0, 77.653458 12.920982 0, 77.653577 12.920966 0, 77.653631 12.920954 0, 77.653661 12.92093 0, 77.653672 12.920892 0, 77.653675 12.920854 0, 77.653673 12.920803 0, 77.653672 12.92077 0, 77.653672 12.920736 0, 77.653672 12.920719 0, 77.653673 12.920703 0, 77.653675 12.920688 0, 77.653695 12.920678 0, 77.653708 12.920671 0, 77.653744 12.920666 0, 77.653794 12.920663 0, 77.65472500000004 12.920586716945992 0, 77.65472500000004 12.917940999999997 0))",77.652575133465,12.91956452069255,15.3,62,4.05,2.0,0,0,2.82,mixed,577,0.81,7.25,294.0,206,265.3,305.1,339.6,411.9
G040,"POLYGON Z ((77.65072500000004 12.921940999999997 0, 77.65072500000004 12.924384289902273 0, 77.650868 12.924361 0, 77.651298 12.924315 0, 77.651494 12.924282 0, 77.651567 12.924272 0, 77.651624 12.924264 0, 77.65166 12.92426 0, 77.651698 12.924253 0, 77.651725 12.924235 0, 77.651743 12.924206 0, 77.651754 12.924177 0, 77.651748 12.924048 0, 77.651658 12.92356 0, 77.651599 12.92327 0, 77.65157 12.923136 0, 77.651551 12.923034 0, 77.651532 12.922928 0, 77.651519 12.922838 0, 77.651512 12.922677 0, 77.651523 12.922355 0, 77.65153812 12.921940999999997 0, 77.65072500000004 12.921940999999997 0))",77.65116331391164,12.92319244700254,2.511,19,7.57,2.0,0,0,4.23,mixed,92,1.51,4.75,54.7,33,49.9,57.3,63.8,77.4
G041,"POLYGON Z ((77.65472500000004 12.901940999999999 0, 77.65573186741364 12.901940999999999 0, 77.655944 12.901688 0, 77.656041 12.901601 0, 77.656387 12.9012 0, 77.656758 12.900912 0, 77.657063 12.900739 0, 77.657177 12.900426 0, 77.657071 12.900248 0, 77.657016 12.899713 0, 77.656821 12.899496 0, 77.656607 12.899746 0, 77.656436 12.899748 0, 77.65625 12.899735 0, 77.656027 12.899694 0, 77.655861 12.899557 0, 77.655783 12.899193 0, 77.655905 12.898717 0, 77.655871 12.898382 0, 77.65584 12.898192 0, 77.655499 12.898356 0, 77.655365 12.898372 0, 77.655216 12.898345 0, 77.65472500000004 12.898273865724388 0, 77.65472500000004 12.901940999999999 0))",77.65563534439549,12.900229134560238,7.141,24,3.36,2.0,0,0,2.54,mixed,269,0.67,7.25,139.5,96,126.1,145.0,161.4,195.8
G042,"POLYGON Z ((77.65472500000004 12.901940999999999 0, 77.65472500000004 12.905940999999999 0, 77.65545109807296 12.905940999999999 0, 77.654775 12.903482 0, 77.654806 12.903139 0, 77.655046 12.902759 0, 77.65573186741364 12.901940999999999 0, 77.65472500000004 12.901940999999999 0))",77.65499918148966,12.903991409295081,1.919,0,0.0,0.0,0,0,0.0,residential,105,0.0,10.0,52.5,25,52.0,59.8,66.5,80.7
G043,"POLYGON Z ((77.65472500000004 12.905940999999999 0, 77.65472500000004 12.909940999999998 0, 77.65659305574225 12.909940999999998 0, 77.655574 12.906388 0, 77.65545109807296 12.905940999999999 0, 77.65472500000004 12.905940999999999 0))",77.65541459757875,12.908235945507462,6.226,2,0.32,2.0,0,0,1.33,residential,353,0.06,8.5,179.1,84,161.5,185.7,206.7,250.7
G044,"POLYGON Z ((77.65472500000004 12.909940999999998 0, 77.65472500000004 12.913940999999998 0, 77.65872500000005 12.913940999999998 0, 77.65872500000005 12.911485366179276 0, 77.657025 12.911447 0, 77.65659305574225 12.909940999999998 0, 77.65472500000004 12.909940999999998 0))",77.6564924871087,12.912223488249035,15.726,3,0.19,2.0,0,0,1.28,residential,890,0.04,8.5,447.8,212,403.1,463.5,515.9,625.8
G045,"POLYGON Z ((77.65872500000005 12.913940999999998 0, 77.65472500000004 12.913940999999998 0, 77.65472500000004 12.917940999999997 0, 77.6585250112316 12.917940999999997 0, 77.65872500000005 12.917799256656567 0, 77.65872500000005 12.913940999999998 0))",77.65672328584238,12.915939268628241,19.216,7,0.36,2.0,0,0,1.35,residential,1088,0.07,8.5,546.6,259,492.3,566.1,630.1,764.3
G046,"POLYGON Z ((77.65472500000004 12.917940999999997 0, 77.65472500000004 12.920586716945992 0, 77.654868 12.920575 0, 77.65687 12.919114 0, 77.6585250112316 12.917940999999997 0, 77.65472500000004 12.917940999999997 0))",77.65598806608452,12.918848699185427,6.201,3,0.48,2.0,0,0,1.39,residential,349,0.1,8.5,177.1,83,159.8,183.8,204.6,248.1
G047,"POLYGON Z ((77.65872500000005 12.913940999999998 0, 77.6609195691057 12.913940999999998 0, 77.660171 12.911518 0, 77.65872500000005 12.911485366179276 0, 77.65872500000005 12.913940999999998 0))",77.65964562251438,12.912805589530088,5.33,1,0.19,2.0,0,0,1.28,residential,298,0.04,8.5,151.7,71,136.7,157.2,174.9,212.2
G048,"POLYGON Z ((77.66268693399503 12.917940999999997 0, 77.662001 12.916024 0, 77.661231 12.915895 0, 77.661193 12.915587 0, 77.661188 12.915141 0, 77.660931 12.913978 0, 77.6609195691057 12.913940999999998 0, 77.65872500000005 12.913940999999998 0, 77.65872500000005 12.917799256656567 0, 77.660513 12.916532 0, 77.66185400112234 12.917940999999997 0, 77.66268693399503 12.917940999999997 0))",77.6602823089449,12.915859236320738,11.59,3,0.26,2.0,0,0,1.3,residential,655,0.05,8.5,330.2,156,297.4,342.0,380.6,461.6
G049,"MULTIPOLYGON Z (((77.66272500000005 12.91803921479714 0, 77.662722 12.918039 0, 77.66268693399503 12.917940999999997 0, 77.66185400112234 12.917940999999997 0, 77.662209 12.918314 0, 77.66272500000005 12.92003975250853 0, 77.66272500000005 12.91803921479714 0)), ((77.66272500000005 12.921940999999997 0, 77.66272500000005 12.921253336099571 0, 77.66212 12.921414 0, 77.661422 12.921568 0, 77.661336 12.921586 0, 77.661289 12.9216 0, 77.661268 12.92162 0, 77.661242 12.92166 0, 77.661218 12.921697 0, 77.661212 12.921728 0, 77.661282 12.921908 0, 77.66129493371757 12.921940999999997 0, 77.66272500000005 12.921940999999997 0)))",77.6622729983129,12.920185518217624,1.737,8,4.61,2.0,0,0,3.04,mixed,64,0.92,4.75,38.3,23,34.9,40.1,44.6,54.2
G050,"POLYGON Z ((77.66272500000005 12.925940999999996 0, 77.66272500000005 12.921940999999997 0, 77.66129493371757 12.921940999999997 0, 77.661554 12.922602 0, 77.661564 12.922628 0, 77.661759 12.923135 0, 77.661975 12.923863 0, 77.662261 12.924734 0, 77.662497 12.92569 0, 77.66260309600997 12.925940999999996 0, 77.66272500000005 12.925940999999996 0))",77.66226433879281,12.9233692475699,3.555,14,3.94,2.0,0,0,2.78,mixed,132,0.79,7.25,71.4,47,65.0,74.7,83.1,100.9
G051,"POLYGON Z ((77.66272500000005 12.925940999999996 0, 77.66260309600997 12.925940999999996 0, 77.66272500000005 12.92622939823021 0, 77.66272500000005 12.925940999999996 0))",77.66268436533669,12.926037132743401,0.021,1,10.0,2.0,0,0,5.2,commercial,2,2.0,7.25,11.2,1,11.3,13.0,14.5,17.5
G052,"POLYGON Z ((77.66272500000005 12.921940999999997 0, 77.6661211380323 12.921940999999997 0, 77.664855 12.920673 0, 77.664173 12.919773 0, 77.663141 12.918069 0, 77.66272500000005 12.91803921479714 0, 77.66272500000005 12.92003975250853 0, 77.662807 12.920314 0, 77.66284 12.920956 0, 77.662843 12.921222 0, 77.66272500000005 12.921253336099571 0, 77.66272500000005 12.921940999999997 0))",77.66381487226816,12.920545119992417,7.934,33,4.16,2.0,0,0,2.86,mixed,300,0.83,7.25,155.5,107,140.7,161.8,180.1,218.5
G053,"POLYGON Z ((77.66272500000005 12.921940999999997 0, 77.66272500000005 12.925940999999996 0, 77.66672500000006 12.925940999999996 0, 77.66672500000006 12.922496570926196 0, 77.666215 12.922035 0, 77.6661211380323 12.921940999999997 0, 77.66272500000005 12.921940999999997 0))",77.66470570224216,12.923960490896652,19.028,87,4.57,2.0,0,0,3.03,mixed,717,0.91,7.25,364.5,256,328.7,378.0,420.7,510.3
